ID,sample_idx,ax,ay,az,gx,gy,gz
41,6,44,-196,-16820,159,-108,2913
41,7,964,-1928,-17016,-126,-27,1224
41,8,896,-784,-16980,111,-94,-1863
41,9,1476,-4,-17164,52,16,117
42,0,1004,196,-16700,-39,86,-209
42,1,384,-240,-16612,143,-150,-1445
42,2,520,-916,-17120,80,-50,-174
42,3,288,-744,-17100,133,-71,-834
42,4,-1008,-320,-17196,-120,108,-741
42,5,-16,-320,-16988,-28,26,139
42,6,-600,-228,-17024,-80,-42,1870
42,7,116,-392,-17028,45,-281,-871
42,8,-960,-220,-16644,99,-58,-809
42,9,864,-820,-17128,-76,-170,177
43,0,1924,-1912,-17596,192,-163,-355
43,1,356,-760,-17564,110,-77,-2061
43,2,-96,-1036,-17084,-166,179,-1947
43,3,-216,-1356,-16552,-105,-28,-493
43,4,-1748,1196,-17140,47,18,-938
43,5,-872,276,-16976,4,-190,-1481
43,6,-656,524,-17400,109,-91,-100
43,7,244,4,-17380,340,-398,250
43,8,-104,-1324,-16548,246,172,1597
43,9,1500,-1676,-16868,-48,92,855
44,0,2000,-920,-17404,16,23,-79
44,1,692,104,-17000,198,-50,-1070
44,2,320,28,-15980,157,18,471
44,3,-388,1784,-16472,137,-31,-1152
44,4,0,-180,-16920,212,-90,11
44,5,-396,1288,-16908,212,-169,-603
44,6,768,-1216,-17244,151,-173,493
44,7,180,-164,-17056,18,-136,-2600
44,8,1516,-972,-17068,132,-71,-178
44,9,708,1632,-16788,187,68,328
45,0,-196,1860,-16788,61,-202,-637
45,1,396,1084,-17208,-117,-133,2558
45,2,-388,984,-17540,182,43,345
45,3,-704,724,-16508,25,-29,952
45,4,-912,1240,-16296,-396,301,2145
45,5,-2184,156,-17248,-76,57,-526
45,6,-1556,816,-17128,-47,61,3261
45,7,-1300,1788,-16948,111,228,-176
45,8,-1396,-512,-17112,44,-76,2419
45,9,-268,-1200,-17316,-92,-3,1935
46,0,-336,-1532,-16840,270,-4,1195
46,1,600,-1524,-16792,132,188,412
46,2,-196,-1156,-16952,-148,-278,-646
46,3,768,-640,-16120,28,-44,-1796
46,4,936,-228,-16428,280,-299,-2412
46,5,492,1264,-17484,158,-81,-2073
46,6,108,828,-16904,220,-99,162
46,7,-908,1496,-16752,98,-247,1170
46,8,8,816,-17608,-78,-49,2005
46,9,708,-368,-17132,165,-5,1885
47,0,1180,216,-16672,175,-76,609
47,1,344,-816,-17336,36,-98,350
